"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"11",0,-0.0908941538790155,-0.0951756061857582,0,-0.234470009237838,0,0,0,0.0366257448322733,0.144311474885545,0,0.0883363969598182,-0.111858736717545,0,0,0,0,-0.0613292780027958,0,0.0300547427562912,0,0,0,0,0.0450747920214828
"12",-0.153665297069668,-0.040178797183772,0,0.0243027244260373,-0.0611509685288072,-0.109811873407253,-0.10193800556745,0,-0.0437365279045241,0.079220216038098,0.0883363969598182,0,-0.0952188522338426,0.0633225579404991,0,0,0,0,0,0,-0.0458550463638647,0.0879465078463587,0,0,0
"13",0,-0.0576469457644454,-0.0682215300344936,0,0.143384251595513,0.21714774769692,0.0828972379366635,0,-0.0595066972908729,0,-0.111858736717545,-0.0952188522338426,0,0.168750194567062,-0.177964491017478,0,0,0,0,0.0420444477204554,-0.277112112162261,-0.0793514066028248,0,0,0
"14",0,-0.0855945957689771,0,0,0.031469987193127,-0.0691662394163742,0.065066160379226,0,0,0.053156001902321,0,0.0633225579404991,0.168750194567062,0,0.607820866245871,0,0,0,0,-0.0285958653163871,0.0596075818950765,0,0,0,0
"15",0.0535848104420158,0.0721146465263639,-0.0287255999122898,0,-0.0767755968638142,0.0867673611856091,-0.0908687613224692,0,0,0,0,0,-0.177964491017478,0.607820866245871,0,0,0,0,0,0.0423572794771071,-0.122434780771135,0.112437748473715,0,0,0
"16",0.0554228323520834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726300471767163,0,0,0,0.0787076584872296,0,0.141186632743711,0.0481961238747748,0
"17",0.181946492742076,-0.131149684299957,0,-0.0374696671270626,0,0,0.0337616355339905,0,0.0698974275751397,0.104061615230273,0,0,0,0,0,0.726300471767163,0,0,0,0.0483994445762013,-0.0404703530194281,0.0597923625754915,0.0865199304670751,0,-0.0315629898501833
"18",0,0,0.124409836989055,0,0,0,0.174167402438886,0,0,0,-0.0613292780027958,0,0,0,0,0,0,0,1.0346791920226,0,-0.130996488009068,0.25405733077212,0,0,0
"19",0,0,0,0,0,0,0,-0.0477592093403965,0,0.0982464192953039,0,0,0,0,0,0,0,1.0346791920226,0,0,0,0,0,0,-0.0628994139439732
"20",-0.037328969440694,-0.0749590203756964,0.0250477891551142,0,-0.0459377350249822,-0.0314247800825013,0,0,-0.0250109873084541,0.0716079250192395,0.0300547427562912,0,0.0420444477204554,-0.0285958653163871,0.0423572794771071,0,0.0483994445762013,0,0,0,0.195893087281918,0.195846807768571,0.186947274461452,0.0728126196742345,0.0658397893740112
"21",0.0375216172842722,0.153008476353175,0.19954005579661,-0.0399318437433408,0,0,-0.0666402618407305,-0.0537946235324313,0,-0.0756277402974517,0,-0.0458550463638647,-0.277112112162261,0.0596075818950765,-0.122434780771135,0.0787076584872296,-0.0404703530194281,-0.130996488009068,0,0.195893087281918,0,0.166768012137945,0,0,0
"22",0,0.202837375279718,0,0,0,-0.117637354687025,-0.0711755999855953,0,0,0.0896848534035478,0,0.0879465078463587,-0.0793514066028248,0,0.112437748473715,0,0.0597923625754915,0.25405733077212,0,0.195846807768571,0.166768012137945,0,0.42135256327388,0,0
"23",0.0981226435456196,0,0.198314848059618,-0.065207557187656,0,0,0,0,0,0,0,0,0,0,0,0.141186632743711,0.0865199304670751,0,0,0.186947274461452,0,0.42135256327388,0,0,0
"24",0.0441125722845586,-0.0489728702601775,0.0509466899546025,0,0,-0.0720357494683476,0,0.042049099634468,0.223482267305606,0,0,0,0,0,0,0.0481961238747748,0,0,0,0.0728126196742345,0,0,0,0,0.665171289644782
"25",-0.0360362935924896,-0.118035955201701,0,0,-0.0926555482230177,0,0,0,0.0861190792290315,0,0.0450747920214828,0,0,0,0,0,-0.0315629898501833,0,-0.0628994139439732,0.0658397893740112,0,0,0,0.665171289644782,0
