Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Uk$Agreeableness,Uk$Conscientiousness,Uk$Neuroticism,Uk$Openness,Uk$Extraversion,Uk$MIGRANT1,Uk$MIGRANT2,Uk$COVID_Infected_Self_Binary,Uk$COVID_Infected_Rel_Binary,Uk$VAX,Uk$Sex,Uk$Employ_Binary,Uk$Education_Binary,Uk$TRUST6,Uk$TRUST7
0.359877468,0.871261718,1.453105919,-1.433551977,-0.206657471,0.726638372,0.108723544,-0.415817041,-1.639034873,-2.980923046,5,6,6,2,2,5,4,0,0,1,1,1,1,3,3
0.689973225,0.704040775,0.188717035,0.646609323,0.546151971,0.087571097,0.620268852,-0.81326487,-1.610058553,-1.741806085,6,7,8,5,5,3,3,0,0,1,1,1,1,2,3
-1.644163516,-0.713827989,0.188717035,-1.325173478,-1.59648584,-0.884092354,-1.159319359,0.198192938,1.446642009,0.611874621,9,6,4,8,5,10,10,0,0,1,1,1,1,5,4
-1.127463799,2.309893476,0.787061987,0.054190941,0.067617055,-0.648083131,-0.054470846,0.807198657,-0.932211716,-1.107972,3,10,8,8,6,7,7,0,0,1,1,1,1,4,4
-0.02726788,0.79142131,1.453105919,0.491823596,0.504635227,0.130863049,0.268090194,0.181387422,-0.401550701,0.402911276,4,6,6,5,5,7,8,0,0,0,1,1,1,3,4
-0.089969945,-0.95313321,0.787061987,-0.837975499,-1.102860055,-0.750826602,-0.525603254,0.807198657,1.251475883,0.625837807,7,7,5,8,9,8,7,0,0,1,1,1,1,4,5
0.087914021,-1.449640898,-0.699377973,0.103980309,-0.171557325,-1.335338774,0.27065632,-0.145775297,-1.053005924,0.758715963,8,7,2,6,6,9,9,0,0,1,1,1,1,5,5
1.066776025,-0.600721146,1.453105919,-0.244371499,0.188522149,0.563723848,-0.134141609,0.887518975,0.113690222,-1.07060459,4,5,8,5,2,7,7,0,0,1,1,0,1,4,4
-0.789948399,0.445370947,-0.699377973,-0.463772535,1.363475963,-0.009277709,0.038463226,-0.200035818,-0.580652891,2.393947182,8,9,8,8,5,8,8,0,1,1,1,1,1,2,2
-0.567752099,0.028737077,0.787061987,1.353150324,-1.59648584,2.278467848,-1.946374814,1.496777502,1.052953063,-0.460118733,10,7,4,6,5,7,7,0,0,1,1,1,1,3,4
1.06790755,-0.602110527,0.787061987,0.087889764,-1.365542399,0.034307546,-0.997597002,0.181387422,0.366688359,0.624718702,5,6,7,6,3,8,8,0,0,1,0,1,1,4,4
-0.789948399,0.373227332,-0.699377973,0.869447997,1.236834966,-1.608495691,2.368151403,-2.001671566,0.508082719,1.050159481,6,6,6,6,2,10,10,0,1,1,1,1,1,3,3
0.859387051,-2.16302068,0.787061987,1.784549475,-0.720847452,-0.160668942,-0.049566038,-0.132614854,-0.160144828,0.04172063,8,8,3,6,3,8,10,0,0,1,1,1,1,5,5
0.359877468,0.871261718,0.787061987,-0.418615904,0.448910418,0.726638372,0.108723544,-0.415817041,-0.580652891,-0.460118733,7,6,6,5,4,5,5,0,0,0,0,1,1,2,3
0.359877468,0.871261718,-0.699377973,0.137212501,-0.591558883,-1.697561892,-0.520888158,0.887518975,1.308442623,-0.460118733,8,5,5,5,3,8,5,0,0,1,1,1,1,5,5
1.634958036,-0.22467404,-0.699377973,-0.418615904,-0.834465932,0.726638372,0.108723544,-0.415817041,-0.881578973,-0.588067657,6,7,8,7,4,10,10,0,0,0,0,1,1,3,4
0.522946192,-0.000804392,-0.699377973,-0.130542761,2.023437898,1.697591436,-0.825991211,0.954659927,-0.825962023,0.936418933,6,6,6,6,6,6,6,0,0,1,0,1,1,3,3
0.240800794,-2.16302068,1.453105919,-0.571426392,0.571339603,-0.722395451,0.357583952,0.288713295,0.261488323,0.710765559,8,10,9,7,4,9,10,0,0,1,0,1,1,5,5
1.867624044,-0.09131912,0.185990842,0.483776041,-1.59648584,1.92445151,-1.176252207,0.643368857,-1.610058553,-0.896557018,6,6,6,6,6,7,7,0,0,1,1,1,1,4,4
-0.273931847,0.426134717,0.166942309,-0.009025866,0.359857008,0.305227376,-0.287652682,-0.360517575,0.545999319,-0.104682023,7,7,6,7,6,6,6,0,0,0,0,1,1,4,4
0.359877468,-0.002802018,0.188717035,0.5689774,0.515307866,0.726638372,0.108723544,-0.415817041,-0.580652891,0.611874621,7,7,6,6,5,7,8,0,0,1,0,1,1,3,4
0.359877468,0.393118068,-0.699377973,0.600087825,-1.59648584,1.92445151,-1.01379864,0.531923942,-0.580652891,0.47981737,6,7,6,6,7,6,6,0,0,1,1,1,1,3,2
0.682005742,-1.953245418,0.787061987,1.218729285,0.006569957,0.678210216,-0.377216218,0.194400487,-1.639034873,0.476870813,8,5,9,7,7,6,6,0,0,0,0,1,1,4,5
0.829746556,-1.027428665,-0.699377973,2.403152971,0.00496015,0.702506285,-0.049566038,-0.921782004,-0.580652891,-1.438593804,8,7,4,6,5,9,7,0,0,0,0,1,1,3,3
