Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
-0.463305667,-0.901711019,-0.643021258,-1.00510781,-0.481336331,0.163957038,-0.220563335,1.630946924,1.024698737,0.305604757,8,10,6,7,5,8,8,0,0,1,1,0,1,4,5
0.525953527,0.389458828,0.975433204,-0.907824327,-0.639768531,-0.106449807,0.507221005,0.708565704,-0.08977416,-0.547595264,7,9,6,8,5,5,7,0,0,0,1,1,1,2,2
0.817612827,1.149907816,-0.643021258,-0.831641926,1.967623899,0.983046853,0.619971911,0.89759317,1.121670423,-0.98358801,3,7,6,8,4,4,6,0,0,1,0,1,1,4,4
-1.013682167,-1.721658065,1.503089667,-1.237155308,0.42251711,-0.21922753,-0.260673992,-0.114791718,-1.288675007,-0.907850219,6,6,8,6,4,8,8,0,0,1,0,1,1,4,4
0.264694875,0.349034373,-0.643021258,1.103984402,-0.925123539,-1.721310144,-1.567582422,-1.620902498,-0.579379257,-1.765775161,10,10,8,8,6,2,1,0,0,1,0,1,0,4,5
0.777344265,0.423915374,-0.643021258,-1.018880874,-0.204183893,-0.658666801,-0.395947164,-0.452382048,0.686204135,-1.632755542,9,10,3,6,5,4,4,0,0,0,0,0,0,4,4
-0.031429745,-0.474758026,-0.643021258,-1.121277345,-0.725649346,0.360512758,0.303924243,-0.970636179,1.251286735,1.793033649,8,7,2,9,10,3,4,0,0,1,1,1,1,4,4
0.920780971,0.567827827,-0.643021258,2.301845529,2.584444537,2.509036668,-0.975283455,1.855263314,2.196911948,2.05022748,7,6,6,6,5,10,10,0,0,1,1,1,1,4,5
0.655814593,-0.228496829,-0.643021258,0.02793884,0.755784323,1.135093095,-1.031751819,-0.198704609,-0.649543524,0.163245866,7,9,10,8,4,5,6,0,0,1,0,1,1,3,4
1.049731319,-0.082791467,-0.643021258,0.213456112,1.714814183,1.200814633,-0.203240321,0.708565704,-0.991628938,0.139660621,7,10,2,6,9,6,6,0,0,0,1,1,0,4,5
