"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"11",0,-0.0943211363814227,-0.0973957401929697,0,-0.238753426296125,0,0,0,0.0397900482842088,0.145102320434936,0,0.0900983691422307,-0.115876893536583,0,0,0,0,-0.077902424210268,0,0.0297294113506815,0,0,0,0,0.0457367442456701
"12",-0.155724953060099,-0.0408134407649056,0,0.0247237555141284,-0.0607158043124711,-0.109210628252927,-0.103459041613541,0,-0.0431446080952292,0.0801162584283581,0.0900983691422307,0,-0.0948257442890093,0.0620338521484777,0,0,0,0,0,0,-0.0466794703379346,0.0906720108698768,0,0,0
"13",0,-0.0577280794869774,-0.0665551631752732,0,0.143163312823691,0.215090583841924,0.0831819517522319,-0.0392227524559666,-0.0573069806210431,0,-0.115876893536583,-0.0948257442890093,0,0.165047755850471,-0.176334172946639,0,0,0,0,0,-0.276737179137112,-0.0771717089693022,0,0,0
"14",0,-0.0866212610079854,0,0,0.0284987221960499,-0.0656478102298693,0.0665200152042074,0,0,0.0529775970948187,0,0.0620338521484777,0.165047755850471,0,0.606041854468609,0,0,0,0,0,0.0568254342171565,-0.0405227971846016,0,0,0
"15",0.0551189583564042,0.0735117771267944,-0.0282284811025529,0,-0.0755093406876116,0.0845923078894544,-0.0926125693102228,0,0,0,0,0,-0.176334172946639,0.606041854468609,0,0,0,0,0,0,-0.123623575459605,0.117382678321717,0,0,0
"16",0.055042683620675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726120137741689,0,0,0,0.0802969409589711,0,0.139916300641968,0.0462051382756148,0
"17",0.181659051491128,-0.129522830889898,0,0,0,0,0,0,0.067003846116071,0.103875757452213,0,0,0,0,0,0.726120137741689,0,0,0,0,-0.0399171188721142,0.0571191774265189,0.0800259724763793,0,0
"18",0,0,0.122343565981753,0,0,0,0.180504092876413,0,0,0,-0.077902424210268,0,0,0,0,0,0,0,1.0346791920226,0,-0.132583733436507,0.270445590446925,0,0,0
"19",0,0,0,0,0,0,0,-0.0600815963676996,0,0.101821880789627,0,0,0,0,0,0,0,1.0346791920226,0,0,0,0,0,0,-0.0611413701455086
"20",0,-0.066511530746085,0,0,-0.0430802068438722,0,0,0,0,0.0651675529181074,0.0297294113506815,0,0,0,0,0,0,0,0,0,0.166980987518564,0.178750606230073,0.120418660618695,0.0565127912357887,0.0631079486570729
"21",0.0408912376619067,0.154578115277097,0.199173659487875,-0.0420019889119591,0,0,-0.0692896701581879,-0.0633277625960232,0,-0.0769555942108232,0,-0.0466794703379346,-0.276737179137112,0.0568254342171565,-0.123623575459605,0.0802969409589711,-0.0399171188721142,-0.132583733436507,0,0.166980987518564,0,0.172108845365277,0,0,0
"22",0,0.206144798677173,0,0,0,-0.117140860407883,-0.0744947444734268,0,0,0.09463739801866,0,0.0906720108698768,-0.0771717089693022,-0.0405227971846016,0.117382678321717,0,0.0571191774265189,0.270445590446925,0,0.178750606230073,0.172108845365277,0,0.420985124634528,-0.0336637588185546,0
"23",0.101636814871917,0,0.190914557117287,-0.0659333361581513,0,0,0,0,0,0,0,0,0,0,0,0.139916300641968,0.0800259724763793,0,0,0.120418660618695,0,0.420985124634528,0,0,0
"24",0.0457995768005233,-0.0473242183033577,0,0,0,-0.0689995197402872,0,0,0.217428791903652,0,0,0,0,0,0,0.0462051382756148,0,0,0,0.0565127912357887,0,-0.0336637588185546,0,0,0.663664740461448
"25",-0.0419181777667024,-0.11731660667613,0,0,-0.0922032935551693,0,0,0,0.0851057472463045,0,0.0457367442456701,0,0,0,0,0,0,0,-0.0611413701455086,0.0631079486570729,0,0,0,0.663664740461448,0
