"","Authoritariansm","SDO","CRT","Conspiracy","Paranoia","LOC_1","LOC2","LOC3","TIS","Alt","Agreeableness","Conscientiousness","Neuroticism","Openness","Extraversion","Ireland$Trust_in_Irish_State","Ireland$MigrantAttitudes1","Ireland$MigrantAttitudes2","Ireland$C19_Infected_Binary","Ireland$C19_SomeoneClose_Infected_Binary","Ireland$Vax_Self_Binary","Ireland$ï..Sex","Ireland$Occupation_Binary","Ireland$Education_Binary"
"77",-1.3029574690223,-2.03391958182618,-0.643021257745389,2.3018455294543,0.868789507073336,-0.415579539782018,-0.381307976947663,-0.657795208416327,-1.09052111216214,-1.56927834338675,3,9,4,4,6,16,5,8,0,0,0,1,1,1
"78",0.283672834871671,0.783533888220988,-0.643021257745389,-0.0558731268670462,-0.925123538971317,0.211937482027923,0.565403311602397,0.443359507781474,-0.649543524219568,0.163245866185761,8,8,7,6,7,13,5,5,0,0,0,1,1,1
"79",1.21845233500602,0.643179384467688,-0.643021257745389,2.0018925503269,-0.0178834405651397,-1.69147180345136,-1.80596763916954,-1.55174786430234,-1.42609720892189,-1.08464657091821,7,10,3,7,6,16,1,1,0,0,0,0,0,0
"80",0.121620068087267,-1.84322845076362,0.975433203664724,0.0858196668569551,-0.628807853854125,-0.534405359978385,-0.0594756501025154,0.674299567523422,-0.445512859659299,0.922240666368583,6,5,8,10,3,19,7,7,0,1,0,0,0,1
"81",-0.111719125341425,0.482057090720014,-0.643021257745389,-0.00852577089649177,1.24185563834502,0.66198414176431,-0.105499514887584,0.443359507781474,0.0316640847001041,-0.183181111769,7,6,7,6,7,20,8,8,0,1,0,1,0,0
"82",0.540172153418479,0.0122405188062766,-0.643021257745389,1.51224813569784,-0.196285565551983,-0.754362109868408,-0.845478762848225,-1.07158371986215,-1.74164438077096,-1.27528662928541,7,7,8,10,5,12,6,3,0,0,1,0,1,0
"83",0.985833689582144,0.695436539722197,0.444417946247724,-0.390807255577042,-0.346839767494164,0.746417416345946,0.600364983559464,0.535365876927376,1.12167042309646,-0.0976867681735016,8,6,5,4,5,26,4,4,0,0,0,0,0,1
"84",0.025555672904787,0.464664550123279,-0.643021257745389,1.60635034901442,-0.404880867700182,-1.33195590610753,0.865621061323558,0.624691018130658,1.12167042309646,0.504878893065352,9,8,4,7,7,29,6,5,0,0,0,0,1,0
"85",-0.262287032135783,-0.0489807363534098,1.50308966740445,0.151351060810183,0.491761879741028,0.283265654921697,0.0795453606887748,0.306791197854123,-0.384884425512633,-0.416545365886953,7,6,4,6,5,24,9,9,0,1,0,0,1,0
"86",0.341830053593625,-0.560838094295491,0.12168275327275,0.723912469878764,0.84996713137804,-0.548467599010122,-0.328320818367851,-0.562004159836213,0.0316640847001041,0.504878893065352,7,9,6,8,7,17,8,8,0,0,0,1,0,0
"87",0.351188809608977,0.10790786958776,-0.643021257745389,-0.197424204955787,0.545528183270229,-0.494573302107738,0.565403311602397,0.629082454564633,0.271953797190793,1.37533549134308,8,9,4,8,6,25,7,3,0,0,0,0,0,0
"88",-1.22551612874239,1.42579135063851,0.868779879465011,1.65938653179092,0.770725859847162,0.991285283567941,1.29096847261389,1.17564186978785,-1.76248122808747,-2.37650668642596,3,4,5,9,4,10,2,1,0,0,1,1,1,0
"89",-0.0629012723122574,1.06184051881282,-0.643021257745389,1.25263524314406,1.21759062718042,0.817618838323061,0.565403311602397,0.443359507781474,-0.893306544173254,-0.106142704574826,6,6,6,6,6,14,5,5,0,0,1,0,0,0
"90",-0.0429767420821942,-0.607490932774326,1.50308966740445,-0.98000425739391,-0.0844007068269511,-0.698556956906819,0.133818676737611,-0.657795208416327,-0.447934523400066,0.09760844449688,6,8,5,8,6,22,8,8,0,0,1,1,0,0
"91",-0.356561445767879,0.850586888662735,-0.643021257745389,-0.226967526395874,1.32059139721051,0.150399454743635,-0.00734072167100534,0.928124920434508,-0.682698667389136,-1.01526582713322,7,9,4,8,6,19,3,6,1,0,0,0,0,0
"92",0.136808523700728,1.06184051881282,-0.643021257745389,-0.551523611410411,0.491761879741028,0.817618838323061,0.186846217762876,0.491276744347603,0.220580229794594,-0.907850219302547,6,6,6,6,6,21,6,6,0,0,0,0,0,1
"93",-0.692795953191681,-0.0579092458826547,-0.643021257745389,0.345732666089526,-0.0283990232553273,0.446579894124363,-0.178010054165867,-0.124334227662396,-0.0401269716884413,0.895611446840039,6,10,8,2,4,19,4,5,0,0,0,1,0,0
"94",-0.512697361608246,0.800164455861866,0.444417946247724,-0.596209376580321,0.10060759449265,0.199291340990676,0.186846217762876,0.00139112731514841,0.220580229794594,-1.95737673727794,4,7,7,10,5,24,8,10,0,0,1,1,0,1
"95",0.239781090971093,1.30497981984915,0.12168275327275,-1.6470904740589,-0.213382464745257,1.22303321681015,0.15348114099541,1.03056065139379,0.329524061103437,-0.218507836508446,9,9,6,8,6,22,1,3,0,1,1,1,1,0
"96",-1.40604868752991,0.555129914694239,0.698896188758938,-0.543637428532432,-0.218792785046961,0.260256599906639,0.38337948278743,0.57984504735564,-0.783929389028874,-1.2226141900217,8,6,4,5,4,17,10,10,0,0,0,1,0,1
"97",0.218752081195543,-0.865624267287557,-0.643021257745389,0.327853357539388,-1.52619218201925,0.113950284081864,0.844299213081996,0.264944701437432,0.112690089747253,1.07520626640562,4,7,6,9,6,21,8,10,0,0,0,1,0,1
"98",-1.49432295784986,-0.130064913474407,-0.643021257745389,2.3018455294543,-1.52619218201925,-0.285025320409736,0.419172342135762,-1.45507565455739,-2.02127955617421,-0.469394808443493,9,10,2,6,9,13,1,1,0,0,1,0,0,0
"99",-0.203172194692085,-1.77729444908999,0.868779879465011,-0.648907438094775,0.491761879741028,-0.0229248639283608,0.0795453606887748,0.395951727695653,0.163299457619707,-0.907850219302547,9,5,5,7,9,20,8,8,0,0,0,0,0,1
"100",1.46821989570027,0.504452132866104,1.50308966740445,1.05668480751941,-1.52619218201925,2.21341894085641,-0.229650112265116,-0.425935585554801,-1.55641409978431,0.723627939159412,8,9,3,7,10,13,5,5,0,0,1,1,0,1
"101",-0.435069864592743,-1.22382653401647,-0.643021257745389,0.0676758423652034,-1.31877221793845,-0.468869251520861,0.0330329116300774,-0.518110189591147,-0.523024991392901,1.17845223360335,9,10,7,5,6,20,6,4,0,0,1,1,1,1
"102",0.136808523700728,1.06184051881282,-0.643021257745389,-0.551523611410411,0.491761879741028,0.817618838323061,0.186846217762876,0.491276744347603,0.220580229794594,-1.07965855430671,6,6,6,6,6,21,6,6,0,0,0,0,0,0
"103",-0.103478195617133,-0.373680938776912,1.50308966740445,0.20362676026624,1.02605371044306,-0.698556956906819,0.578086527004955,-0.509665299763078,-0.954610251233495,-0.425876085566012,4,8,9,7,2,16,5,9,0,0,1,1,0,0
"104",-0.393828355059992,0.0565767371912291,-0.643021257745389,-0.430713525781217,-1.08798766359495,-1.4354952932779,-0.348933725546582,-0.943988817408959,1.02469873727396,0.239116678418038,8,10,3,8,6,26,8,7,0,0,0,0,0,1
"105",0.735960134414252,0.462890962493001,1.50308966740445,-1.26384518560743,0.179378146792866,0.199291340990676,-0.105499514887584,0.353207292822597,0.373385399364745,0.622365358350749,9,9,3,7,8,25,7,4,0,0,1,0,0,1
"106",1.0964378284169,0.855740569748204,-0.643021257745389,-0.703395632848542,-1.52619218201925,-0.643330291688815,-0.583592109323751,-0.206788196899493,0.227929401212465,-0.0374488057612329,6,10,4,6,8,23,4,5,0,0,0,1,0,0
